run,interval,path,speed,repetition,Module,sensors[0],sensors[1],sensors[2],sensors[3],sensors[4],sensors[5],sensors[6],sensors[7],sensors[8],sensors[9]
Newmap-DefaultCampaign-13-20220714-18:45:20-37764,0.36s,"""paths/voo_mapa_novo50.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,121,149,149,100,149,94,121,142,98,53
Newmap-DefaultCampaign-14-20220714-18:45:20-31096,0.5s,"""paths/voo_mapa_novo50.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,97,99,103,82,124,73,77,77,80,34
Newmap-DefaultCampaign-3-20220714-18:44:40-11364,0.2s,"""paths/voo_mapa_novo20.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,123,108,142,150,133,80,94,109,94,46
Newmap-DefaultCampaign-9-20220714-18:45:20-37060,0.2s,"""paths/voo_mapa_novo35.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,129,119,135,120,131,84,91,116,101,48
Newmap-DefaultCampaign-12-20220714-18:45:20-8752,0.2s,"""paths/voo_mapa_novo50.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,253,232,286,190,259,159,238,223,194,94
Newmap-DefaultCampaign-6-20220714-18:44:40-10660,0.2s,"""paths/voo_mapa_novo35.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,252,243,275,257,237,163,192,214,197,110
Newmap-DefaultCampaign-17-20220714-18:45:41-17032,0.5s,"""paths/voo_mapa_novo50.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,46,50,56,32,54,27,49,38,49,22
Newmap-DefaultCampaign-2-20220714-18:44:40-29464,0.5s,"""paths/voo_mapa_novo20.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,86,95,116,119,110,62,84,87,70,31
Newmap-DefaultCampaign-1-20220714-18:44:40-27264,0.36s,"""paths/voo_mapa_novo20.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,137,119,154,159,151,82,119,131,99,47
Newmap-DefaultCampaign-0-20220714-18:44:40-36856,0.2s,"""paths/voo_mapa_novo20.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,248,226,267,298,243,168,196,227,186,95
Newmap-DefaultCampaign-4-20220714-18:44:40-35988,0.36s,"""paths/voo_mapa_novo20.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,53,60,71,100,63,47,59,70,50,25
Newmap-DefaultCampaign-15-20220714-18:45:20-19864,0.2s,"""paths/voo_mapa_novo50.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,130,125,136,100,118,90,108,106,97,44
Newmap-DefaultCampaign-5-20220714-18:44:40-26288,0.5s,"""paths/voo_mapa_novo20.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,44,42,62,64,51,29,46,47,30,16
Newmap-DefaultCampaign-16-20220714-18:45:32-1892,0.36s,"""paths/voo_mapa_novo50.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,60,68,76,57,66,54,59,61,64,27
Newmap-DefaultCampaign-10-20220714-18:45:20-22684,0.36s,"""paths/voo_mapa_novo35.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,65,57,84,72,78,39,58,61,63,19
Newmap-DefaultCampaign-7-20220714-18:44:40-21684,0.36s,"""paths/voo_mapa_novo35.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,128,129,149,146,150,96,117,132,102,37
Newmap-DefaultCampaign-8-20220714-18:45:20-30056,0.5s,"""paths/voo_mapa_novo35.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,94,90,119,92,94,63,101,79,92,36
Newmap-DefaultCampaign-11-20220714-18:45:20-12136,0.5s,"""paths/voo_mapa_novo35.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,49,50,52,48,47,38,44,40,42,18
