run,interval,path,speed,repetition,Module,sensors[0],sensors[1],sensors[2],sensors[3],sensors[4],sensors[5],sensors[6],sensors[7],sensors[8],sensors[9]
Newmap-LightCampaign-1-20220714-19:11:30-14840,0.36s,"""paths/voo_mapa_novo20.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,90,113,153,247,133,95,121,93,129,78
Newmap-LightCampaign-0-20220714-19:11:30-37720,0.2s,"""paths/voo_mapa_novo20.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,197,184,298,372,237,172,228,183,219,156
Newmap-LightCampaign-15-20220714-19:12:43-36704,0.2s,"""paths/voo_mapa_novo50.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,93,102,147,192,122,92,76,100,112,83
Newmap-LightCampaign-16-20220714-19:12:56-37316,0.36s,"""paths/voo_mapa_novo50.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,45,59,79,98,75,42,59,63,60,40
Newmap-LightCampaign-7-20220714-19:11:30-5404,0.36s,"""paths/voo_mapa_novo35.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,110,107,150,232,146,81,110,119,128,66
Newmap-LightCampaign-17-20220714-19:13:08-31880,0.5s,"""paths/voo_mapa_novo50.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,49,37,53,81,47,38,30,43,43,29
Newmap-LightCampaign-8-20220714-19:12:43-27856,0.5s,"""paths/voo_mapa_novo35.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,67,86,128,149,118,62,81,72,74,60
Newmap-LightCampaign-10-20220714-19:12:43-15436,0.36s,"""paths/voo_mapa_novo35.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,49,61,77,107,65,42,61,53,56,47
Newmap-LightCampaign-4-20220714-19:11:30-5440,0.36s,"""paths/voo_mapa_novo20.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,50,54,81,124,71,43,48,55,65,35
Newmap-LightCampaign-13-20220714-19:12:43-36364,0.36s,"""paths/voo_mapa_novo50.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,98,123,140,227,145,92,95,107,135,90
Newmap-LightCampaign-9-20220714-19:12:43-36696,0.2s,"""paths/voo_mapa_novo35.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,102,109,152,198,113,85,83,87,107,84
Newmap-LightCampaign-12-20220714-19:12:43-24016,0.2s,"""paths/voo_mapa_novo50.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,206,226,272,377,247,177,194,202,223,112
Newmap-LightCampaign-14-20220714-19:12:43-32908,0.5s,"""paths/voo_mapa_novo50.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,90,72,108,159,99,44,92,95,88,53
Newmap-LightCampaign-3-20220714-19:11:30-33696,0.2s,"""paths/voo_mapa_novo20.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,95,82,160,202,112,70,106,108,110,72
Newmap-LightCampaign-5-20220714-19:11:30-9496,0.5s,"""paths/voo_mapa_novo20.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,36,47,53,85,51,31,36,37,53,20
Newmap-LightCampaign-2-20220714-19:11:30-37832,0.5s,"""paths/voo_mapa_novo20.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,81,72,104,170,109,65,62,79,94,68
Newmap-LightCampaign-6-20220714-19:11:30-35096,0.2s,"""paths/voo_mapa_novo35.waypoints""",5mps,0,mobilityDrones.quads[0].protocol,174,204,287,415,258,177,187,203,220,129
Newmap-LightCampaign-11-20220714-19:12:43-32476,0.5s,"""paths/voo_mapa_novo35.waypoints""",10mps,0,mobilityDrones.quads[0].protocol,37,30,51,95,56,36,44,30,43,26
